"SYMBOL 
","COMPANY 
","PURPOSE 
","DETAILS 
","DATE 
"
"ACE","Action Construction Equipment Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"ADROITINFO","Adroit Infotech Limited","Other business matters","To consider other business matters Approval Of Directors Report, Corporate Governance Report, Notice For Convening Of AGM, Fixation Of AGM Date, Book Closure Date.","20-Jul-2026"
"AIIL","Authum Investment & Infrastructure Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","20-Jul-2026"
"ALKALI","Alkali Metals Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","20-Jul-2026"
"AURUM","Aurum PropTech Limited","Financial Results","To consider and approve the unaudited financial results for the period ended Jun 30, 2026","20-Jul-2026"
"BAJAJHCARE","Bajaj Healthcare Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"BETA","Beta Drugs Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"BLUESTONE","BlueStone Jewellery and Lifestyle Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"CALSOFT","California Software Company Limited","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","20-Jul-2026"
"CANHLIFE","Canara HSBC Life Insurance Company Limited","Financial Results","Intimation of Board Meeting under Regulation 29 and 50 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","20-Jul-2026"
"CMPDI","Central Mine Planning & Design Institute Limited","Financial Results/Dividend","To consider and approve the Un-Audited financial results for the period ended Jun 30, 2026 and First Interim dividend for FY 2026-27 and Intimation regarding Closure of Trading Window","20-Jul-2026"
"CSM","CSM Technologies Limited","Financial Results/Dividend","To consider and approve the financial results for the period ended March 31, 2026 and dividend","20-Jul-2026"
"DPABHUSHAN","D. P. Abhushan Limited","Financial Results","To consider and approve the unaudited financial results for the period ended Jun 30, 2026","20-Jul-2026"
"DYCL","Dynamic Cables Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"GFSTEELS","Grand Foundry Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"INDIASHLTR","India Shelter Finance Corporation Limited","Fund Raising","Prior intimation of Asset Liability Management Committee to consider Fund Raising by way of issuance of NCDs","20-Jul-2026"
"INDOTHAI","Indo Thai Securities Limited","Financial Results/Fund Raising/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026, Fund Raising and other business matters","20-Jul-2026"
"IOB","Indian Overseas Bank","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"JPPOWER","Jaiprakash Power Ventures Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"KARURVYSYA","Karur Vysya Bank Limited","Financial Results","To consider and approve the unaudited financial results for the period ended Jun 30, 2026","20-Jul-2026"
"MAHLOG","Mahindra Logistics Limited","Financial Results/Other business matters","Meeting of the Board of Directors of Mahindra Logistics Limited is scheduled to be held on Monday, 20 July 2026 to inter alia, consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company for the first quarter ended 30 June 2026, which shall be subject to limited review by the Statutory Auditor of the Company, in compliance with Regulation 29 and other applicable provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015. Detailed disclosure is enclosed.","20-Jul-2026"
"PAYTM","One 97 Communications Limited","Financial Results","Disclosure under Regulation 29 and 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015   Intimation of Board Meeting, Bonus Issue and Earnings Call","20-Jul-2026"
"RAJOOENG","Rajoo Engineers Limited","Financial Results","Rajoo Engineers Ltd- has informed NSE that the meeting of the Board of Directors of the Company is scheduled on 20/07/2026,inter alia, to consider and approve Unaudited Standalone and Consolidated Financial Results for the quarter ended June 30, 2026 along with Limited Review Reports thereof.","20-Jul-2026"
"RAJSREESUG","Rajshree Sugars & Chemicals Limited","Financial Results","To consider and approve the Unaudited Financial Results of the Company for the quarter ended 30th June 2026.","20-Jul-2026"
"RALLIS","Rallis India Limited","Financial Results","To consider and approve the financial results for the period ended June 30, 2026","20-Jul-2026"
"RAMBHAJO","Advit Jewels Limited","Financial Results","To consider and approve the Audited Financial results of the Company for the Yearly ended March 2026.","20-Jul-2026"
"SGMART","SG Mart Limited","Financial Results","To consider and approve the financial results for the period ended June 30, 2026","20-Jul-2026"
"SHYAMMETL","Shyam Metalics and Energy Limited","Financial Results/Dividend/Fund Raising","To consider and approve the financial results for the period ended Jun 30, 2026, dividend and Fund Raising","20-Jul-2026"
"SMLMAH","SML Mahindra Limited","Financial Results","To consider & approve the Unaudited Financial Results of the Company for the first quarter (FY 2026-27) ending on                  30th June, 2026.","20-Jul-2026"
"SOBHA","Sobha Limited","Financial Results/Fund Raising","Sobha Limited has informed the Exchange about Board Meeting to be held on 20-July-2026 to consider and approve the  Unaudited Financial Results of the Company for the quarter ended June 30, 2026.","20-Jul-2026"
"SOUTHWEST","South West Pinnacle Exploration Limited","Financial Results","To consider and approve the financial results for the period ended Jun 30, 2026","20-Jul-2026"
"SOUTHWEST","South West Pinnacle Exploration Limited","Other business matters","To consider other business matters","20-Jul-2026"
"STEELXIND","STEEL EXCHANGE INDIA LIMITED","Financial Results/Other business matters","To consider and approve the financial results for the period ended Jun 30, 2026 and other business matters","20-Jul-2026"
